demand_node_index truck_node_index distance scaled_demand
demand15 truck34 462.59140488851835 0
demand15 truck41 483.4113961384083 0
demand15 truck42 561.2915060281696 0
demand15 truck43 586.879460908687 0
demand15 truck52 266.05897493653185 3
demand15 truck53 236.8404880438253 6
demand15 truck54 338.81716332986133 0
demand15 truck47 385.932947198548 0
demand15 truck55 575.3551831616168 0
demand18 truck3 344.14285326972936 0
demand18 truck7 290.63612910600307 1
demand18 truck10 268.8473534637499 4
demand18 truck13 211.85239716505956 11
demand18 truck15 90.81797395468759 25
demand18 truck29 250.45101477046936 6
demand18 truck34 301.7319298337927 0
demand18 truck41 428.842017948687 0
demand18 truck42 400.5027397832191 0
demand18 truck43 426.09069466373643 0
demand18 truck52 105.19949988180623 24
demand18 truck53 75.9810129890997 25
demand18 truck54 177.95768827513578 15
demand18 truck47 225.07347214382239 9
demand18 truck55 414.4957081068912 0
demand21 truck3 314.2106664181395 0
demand21 truck7 371.29133699327366 0
demand21 truck10 229.22626498609037 7
demand21 truck13 292.5076050523301 1
demand21 truck15 171.47318184195817 13
demand21 truck29 234.51404207107785 7
demand21 truck34 285.7949571344012 1
demand21 truck41 413.2793056741668 0
demand21 truck42 384.5657670838276 0
demand21 truck43 410.1537219643449 0
demand21 truck52 89.63678760728611 20
demand21 truck53 115.73564277962706 18
demand21 truck54 162.02071557574428 14
demand21 truck47 209.13649944443088 9
demand21 truck55 398.5587354074997 0
demand22 truck3 318.07072254400026 0
demand22 truck7 457.0925390694701 0
demand22 truck10 233.0863211119511 10
demand22 truck13 378.30880712852655 0
demand22 truck15 257.27438391815457 6
demand22 truck29 178.53418875428 18
demand22 truck34 229.81510381760333 11
demand22 truck41 407.5468999128091 0
demand22 truck42 328.5859137670298 0
demand22 truck43 354.1738686475471 0
demand22 truck52 240.58694790508665 9
demand22 truck53 266.68580307742764 5
demand22 truck54 167.97364399844164 20
demand22 truck47 153.15664612763302 22
demand22 truck55 342.5788820907018 0
demand25 truck3 487.816416650877 0
demand25 truck7 611.9301439828189 0
demand25 truck10 402.83201521882785 0
demand25 truck13 533.1464120418754 0
demand25 truck15 412.11198883150337 0
demand25 truck29 234.71018481447274 13
demand25 truck34 190.1938844061477 22
demand25 truck41 420.6786810506213 0
demand25 truck42 341.4199045871942 0
demand25 truck43 367.0078594677115 0
demand25 truck52 323.64749716389156 0
demand25 truck53 349.74635233623246 0
demand25 truck54 251.03419325724653 10
demand25 truck47 209.33264218782574 18
demand25 truck55 231.81706197139692 14
demand26 truck3 479.96266000271584 0
demand26 truck7 554.99449624729 0
demand26 truck10 394.9782585706667 0
demand26 truck13 476.2107643063465 0
demand26 truck15 355.1763410959745 0
demand26 truck29 177.7745370789439 28
demand26 truck34 164.3169479785677 31
demand26 truck41 396.2261406775034 0
demand26 truck42 316.96736421407627 0
demand26 truck43 342.5553190945936 0
demand26 truck52 266.7118494283627 7
demand26 truck53 292.8107046007036 2
demand26 truck54 194.09854552171768 24
demand26 truck47 152.3969944522969 33
demand26 truck55 223.96330532323577 17
demand27 truck3 491.91142654531774 0
demand27 truck7 453.2728096268892 0
demand27 truck10 406.9270251132686 0
demand27 truck13 374.4890776859457 0
demand27 truck15 354.45140816087616 0
demand27 truck29 120.12375459770914 18
demand27 truck34 207.60700770363403 9
demand27 truck41 247.25310172922786 5
demand27 truck42 270.1754796104589 3
demand27 truck43 295.76343449097624 0
demand27 truck52 265.98691649326435 3
demand27 truck53 292.08577166560525 1
demand27 truck54 193.37361258661932 11
demand27 truck47 151.67206151719853 15
demand27 truck55 320.3707859767325 0
demand28 truck3 492.39759498840544 0
demand28 truck7 303.37501949711697 0
demand28 truck10 429.8497010796797 0
demand28 truck13 224.59128755617343 13
demand28 truck15 252.39649288569262 8
demand28 truck29 251.9623688127981 8
demand28 truck34 339.445621918723 0
demand28 truck41 323.17666478430357 0
demand28 truck42 401.05677467406497 0
demand28 truck43 426.6447295545823 0
demand28 truck52 216.7301147463101 15
demand28 truck53 190.0308563904217 19
demand28 truck54 289.48830313963964 2
demand28 truck47 283.5106757322875 3
demand28 truck55 452.2094001918215 0
demand29 truck3 536.3148635376392 0
demand29 truck7 347.29228804635073 0
demand29 truck10 456.48586017248743 0
demand29 truck13 268.5085561054072 6
demand29 truck15 296.31376143492633 1
demand29 truck29 262.06296767150394 8
demand29 truck34 349.54622077742886 0
demand29 truck41 333.27726364300946 0
demand29 truck42 411.1573735327708 0
demand29 truck43 436.7453284132881 0
demand29 truck52 226.83071360501594 15
demand29 truck53 233.94812493965546 13
demand29 truck54 299.5889019983455 0
demand29 truck47 293.6112745909934 1
demand29 truck55 462.3099990505273 0
demand34 truck3 489.75603004884425 0
demand34 truck7 552.1141668157181 0
demand34 truck10 404.77162861679506 0
demand34 truck13 473.3304348747746 0
demand34 truck15 352.2960116644026 0
demand34 truck29 154.17069614383712 15
demand34 truck34 68.37840948059437 20
demand34 truck41 300.28760217953004 0
demand34 truck42 221.02882571610292 8
demand34 truck43 246.61678059662023 5
demand34 truck52 263.8315199967908 4
demand34 truck53 289.9303751691317 1
demand34 truck54 191.21821609014577 11
demand34 truck47 149.516665020725 15
demand34 truck55 170.8862768706499 13
demand46 truck3 603.2023756362878 0
demand46 truck7 414.17980014499943 0
demand46 truck10 523.3733722711361 0
demand46 truck13 335.3960682040559 0
demand46 truck15 363.20127353357503 0
demand46 truck29 328.95047977015264 0
demand46 truck34 334.42351198739715 0
demand46 truck41 202.8337834149714 5
demand46 truck42 281.3699731884994 1
demand46 truck43 306.9579280690167 0
demand46 truck52 293.71822570366464 0
demand46 truck53 300.8356370383041 0
demand46 truck54 366.4764140969941 0
demand46 truck47 360.4987866896421 0
demand46 truck55 404.38223188988894 0
demand53 truck3 201.92821564731264 15
demand53 truck7 206.8086446664283 14
demand53 truck10 116.94381421526356 27
demand53 truck13 279.86573819874263 3
demand53 truck15 160.4151534988879 21
demand53 truck29 387.85250793791664 0
demand53 truck34 439.13342300124003 0
demand53 truck41 566.2435111161341 0
demand53 truck42 537.9042329506664 0
demand53 truck43 563.4921878311837 0
demand53 truck52 242.60099304925347 9
demand53 truck53 213.38250615654695 13
demand53 truck54 315.359181442583 0
demand53 truck47 362.47496531126967 0
demand53 truck55 551.8972012743384 0
